Name,Games Played,Wins,Losses,Win %,Kills,Deaths,KDR,Kills as Imposter,Kills Per Imposter Game,Imposter Games,Imposter Wins,Imposter Win %,Crewmate Games,Crewmate Wins,Crewmate Win %,Neutral Games,Neutral Wins,Neutral Win %,Lover Games,Lover Wins,Lover Win %,Total Tasks,Tasks Completed,Task Completion %,All Tasks Completed,Voted out,Emergency Meetings,Bodies Reported,Voted out First,First Death of Game,Death in First Round,Disconnected,Rage Quit
Josh,253,104,149,41.11,107,115,0.93,104,1.82,57,23,40.35,187,80,42.78,9,1,11.11,2,0,0,786,467,59.41,18,56,21,58,19,30,31,0,0
Simon,251,141,110,56.18,116,118,0.98,109,2.6,42,32,76.19,194,104,53.61,15,5,33.33,1,0,0,796,481,60.43,34,26,37,89,12,28,36,0,0
Ethan,247,107,141,43.32,110,128,0.86,104,2.17,48,21,43.75,187,81,43.32,12,4,33.33,2,1,50,745,510,68.46,38,36,16,55,20,30,33,0,0
Harry,243,114,129,46.91,83,117,0.71,79,1.98,40,18,45,191,93,48.69,12,3,25,1,0,0,802,373,46.51,19,39,17,61,21,20,27,1,1
Vik,232,123,109,53.02,108,102,1.06,106,2.3,46,31,67.39,181,90,49.72,5,2,40,0,0,0,704,210,29.83,10,35,25,64,17,22,23,1,1
Tobi,230,99,131,43.04,93,101,0.92,88,1.96,45,15,33.33,177,83,46.89,8,1,12.5,1,0,0,635,494,77.8,45,47,17,51,21,21,29,0,1
JJ,206,90,116,43.69,131,78,1.68,111,2.06,54,25,46.3,139,63,45.32,13,2,15.38,3,0,0,502,119,23.71,6,69,51,22,45,17,26,2,0
Randolph,142,50,92,35.21,59,68,0.87,58,2.07,28,8,28.57,109,41,37.61,5,1,20,0,0,0,448,226,50.45,11,31,11,31,11,15,18,0,0
Lazarbeam,139,68,71,48.92,72,57,1.26,64,2.21,29,17,58.62,105,49,46.67,5,2,40,0,0,0,622,174,27.97,3,26,17,37,8,14,14,0,0
Deji,111,50,61,45.05,47,40,1.18,40,2.11,19,8,42.11,84,40,47.62,8,2,25,1,0,0,603,134,22.22,8,34,19,18,22,12,12,1,0
Viz,111,53,58,47.75,45,57,0.79,44,2.32,19,10,52.63,87,42,48.28,5,1,20,0,0,0,489,208,42.54,8,13,5,24,9,8,11,1,0
DannyAarons,95,47,48,49.47,62,34,1.82,60,2.4,25,12,48,68,34,50,2,1,50,0,0,0,446,94,21.08,NA,18,9,27,10,5,9,1,0
Lachlan,81,34,47,41.98,36,42,0.86,36,2,18,8,44.44,59,25,42.37,4,1,25,0,0,0,241,89,36.93,4,14,6,29,4,7,8,0,0
Ellum,54,26,28,48.15,27,26,1.04,27,2.7,10,4,40,44,22,50,0,0,0,0,0,0,195,78,40,3,15,3,11,9,6,5,0,0
PieFace,48,21,27,43.75,19,27,0.7,19,2.11,9,4,44.44,38,17,44.74,1,0,0,1,0,0,224,170,75.89,15,9,4,19,2,8,7,1,0
ChrisMD,31,12,19,38.71,13,12,1.08,13,4.33,3,1,33.33,28,11,39.29,0,0,0,0,0,0,134,25,18.66,NA,7,4,5,3,4,4,0,0
JME,26,12,14,46.15,28,13,2.15,24,2.4,10,4,40,14,8,57.14,2,0,0,0,0,0,65,31,47.69,1,7,8,5,1,1,1,0,0
Ginge,25,5,20,20,7,15,0.47,6,2,3,0,0,19,5,26.32,3,0,0,0,0,0,133,63,47.37,4,4,3,8,3,3,2,0,0
MilkInABag,15,10,5,66.67,9,7,1.29,9,3,3,3,100,12,7,58.33,0,0,0,0,0,0,35,20,57.14,1,0,0,4,0,2,2,0,0
WillNE,15,7,8,46.67,3,2,1.5,3,3,1,0,0,14,7,50,0,0,0,0,0,0,49,26,53.06,2,7,1,1,2,0,0,0,0
Calfreezy,14,4,10,28.57,6,5,1.2,6,1.5,4,1,25,10,3,30,0,0,0,0,0,0,42,6,14.29,NA,3,1,2,2,2,1,0,0
ArthurTV,12,5,7,41.67,4,5,0.8,4,2,2,0,0,10,5,50,0,0,0,0,0,0,66,25,37.88,NA,1,3,1,1,2,4,0,0
Callux,12,5,7,41.67,3,9,0.33,3,3,1,1,100,11,4,36.36,0,0,0,0,0,0,35,10,28.57,NA,1,1,3,1,0,0,0,0
George Clarkey,12,2,10,16.67,6,6,1,5,1.25,4,0,0,6,2,33.33,2,0,0,0,0,0,44,4,9.09,NA,1,0,3,1,1,2,0,0
MaxFosh,12,6,7,50,10,7,1.43,10,2.5,4,1,25,8,4,50,0,0,0,2,1,50,60,35,58.33,1,2,3,3,2,1,2,0,0
Fresh,10,4,6,40,4,3,1.33,4,4,1,1,100,9,3,33.33,0,0,0,0,0,0,NA,NA,NA,NA,2,1,4,0,2,2,0,0
Ciaran,9,5,4,55.56,0,6,0,0,0,0,0,0,8,5,62.5,1,0,0,0,0,0,56,24,42.86,1,0,0,0,0,2,2,1,0
Muselk,9,6,3,66.67,3,4,0.75,3,3,1,1,100,8,5,62.5,0,0,0,0,0,0,NA,NA,NA,NA,1,0,4,1,1,1,0,0
Joe Weller,8,7,1,87.5,2,3,0.67,2,2,1,1,100,7,6,85.71,0,0,0,0,0,0,56,9,16.07,NA,0,0,1,0,0,0,0,0
Theo,8,3,5,37.5,3,5,0.6,3,3,1,1,100,7,2,28.57,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0
TommyInnit,8,2,6,25,6,1,6,6,2,3,0,0,5,2,40,0,0,0,0,0,0,NA,NA,NA,NA,4,1,2,1,0,0,1,0
Tubbo,8,6,2,75,2,3,0.67,2,2,1,1,100,7,5,71.43,0,0,0,0,0,0,NA,NA,NA,NA,1,2,1,0,1,2,0,0
Wilbur,8,3,5,37.5,1,3,0.33,1,0.5,2,0,0,6,3,50,0,0,0,0,0,0,NA,NA,NA,NA,3,1,1,1,1,1,0,0
Apex,7,2,5,28.57,2,3,0.67,2,2,1,0,0,6,2,33.33,0,0,0,0,0,0,NA,NA,NA,NA,1,0,3,0,2,2,0,0
Jarvis,7,2,5,28.57,1,6,0.17,1,1,1,0,0,6,2,33.33,0,0,0,0,0,0,NA,NA,NA,NA,1,0,0,0,0,2,0,0
Jynxzi,7,0,7,0,2,5,0.4,2,1,2,0,0,1,0,0,4,0,0,0,0,0,7,0,0,NA,1,0,4,0,0,1,0,0
Kay,7,5,2,71.43,5,1,5,5,2.5,2,2,100,5,3,60,0,0,0,0,0,0,NA,NA,NA,NA,0,0,1,0,1,1,0,0
Chandler,6,4,2,66.67,1,1,1,1,1,1,1,100,5,3,60,0,0,0,0,0,0,NA,NA,NA,NA,0,0,4,0,0,0,0,0
Chip,6,3,3,50,0,4,0,0,0,0,0,0,6,3,50,0,0,0,0,0,0,42,12,28.57,NA,1,1,2,0,1,1,0,0
Karl,6,3,3,50,0,1,0,0,0,0,0,0,6,3,50,0,0,0,0,0,0,NA,NA,NA,NA,2,1,5,1,0,0,0,0
Liam,6,3,3,50,0,3,0,0,0,0,0,0,6,3,50,0,0,0,0,0,0,NA,NA,NA,NA,0,0,3,0,0,0,0,0
MrBeast,6,3,3,50,4,0,4,4,2,2,1,50,4,2,50,0,0,0,0,0,0,NA,NA,NA,NA,1,2,1,1,0,0,0,0
Dream,5,4,1,80,0,3,0,0,0,0,0,0,5,4,80,0,0,0,0,0,0,NA,NA,NA,NA,0,2,3,0,2,2,0,0
JackSepticEye,5,5,0,100,3,0,3,3,3,1,1,100,4,4,100,0,0,0,0,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,0
Pewdiepie,5,4,1,80,0,2,0,0,0,0,0,0,5,4,80,0,0,0,0,0,0,NA,NA,NA,NA,0,2,2,0,0,0,0,0